,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.00042305630888818,1913,83,24,0.289156626506024,0.0125457396759017,GO:0006955,GO:BP,immune response,21092,2884,GO:0002376/GO:0050896
2,query_1,TRUE,0.00435258335247811,2842,83,28,0.337349397590361,0.00985221674876847,GO:0002376,GO:BP,immune system process,21092,1027,GO:0008150
3,query_1,TRUE,0.011731016353194,620,83,12,0.144578313253012,0.0193548387096774,GO:0031347,GO:BP,regulation of defense response,21092,8272,GO:0006952/GO:0080134
4,query_1,TRUE,0.0119181632113503,2814,83,27,0.325301204819277,0.00959488272921109,GO:0009605,GO:BP,response to external stimulus,21092,3973,GO:0050896
5,query_1,TRUE,0.0156678366984123,430,83,10,0.120481927710843,0.0232558139534884,GO:0002683,GO:BP,negative regulation of immune system process,21092,1322,GO:0002376/GO:0002682/GO:0048519
6,query_1,TRUE,0.0219247521710066,1742,83,20,0.240963855421687,0.0114810562571757,GO:0006952,GO:BP,defense response,21092,2881,GO:0006950
7,query_1,TRUE,0.045953721342183,3970,83,32,0.385542168674699,0.00806045340050378,GO:0048583,GO:BP,regulation of response to stimulus,21092,14875,GO:0050789/GO:0050896
8,query_1,TRUE,0.00520879601236985,13,85,3,0.0352941176470588,0.230769230769231,GO:0044194,GO:CC,cytolytic granule,21690,2257,GO:0005764
9,query_1,TRUE,0.00549078090084746,5788,85,41,0.482352941176471,0.00708362128541811,GO:0005886,GO:CC,plasma membrane,21690,513,GO:0016020/GO:0071944
10,query_1,TRUE,0.0103561205245081,1731,85,19,0.223529411764706,0.0109763142692086,GO:0031226,GO:CC,intrinsic component of plasma membrane,21690,1236,GO:0005886/GO:0031224
11,query_1,TRUE,0.0149193342450058,9856,85,57,0.670588235294118,0.00578327922077922,GO:0016020,GO:CC,membrane,21690,848,GO:0110165
12,query_1,TRUE,0.0167542269717963,6270,85,42,0.494117647058824,0.00669856459330144,GO:0071944,GO:CC,cell periphery,21690,3125,GO:0110165
13,query_1,TRUE,0.0187563964239473,1649,85,18,0.211764705882353,0.0109157064887811,GO:0005887,GO:CC,integral component of plasma membrane,21690,514,GO:0016021/GO:0031226
14,query_1,TRUE,0.0224896550947969,681,85,11,0.129411764705882,0.0161527165932452,GO:0098552,GO:CC,side of membrane,21690,3544,GO:0016020/GO:0110165
15,query_1,TRUE,0.0228143557612958,5902,85,40,0.470588235294118,0.00677736360555744,GO:0031224,GO:CC,intrinsic component of membrane,21690,1234,GO:0016020/GO:0110165
16,query_1,TRUE,0.0251879761672487,459,85,9,0.105882352941176,0.0196078431372549,GO:0009897,GO:CC,external side of plasma membrane,21690,782,GO:0005886/GO:0009986/GO:0098552
17,query_1,TRUE,0.0366576868604661,20,84,3,0.0357142857142857,0.15,GO:0016638,GO:MF,oxidoreductase activity. acting on the CH-NH2 group of donors,20166,3617,GO:0016491
